stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,3,0,82,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,7.33,0.85,0,0,0,0,0,0,0,0,0.85,1.41,0,0,0,0,0.56,6.48,9.86,0,0.28,1.41,0,0,10.71,0,0,0,0
21Day,0,0,0,1.85,4.81,0.37,0,0,0,0,0,0,0,0,0.74,1.48,0,0.37,0,0,0,0.37,2.22,0,0.37,0.37,0.74,0.74,3.7,1.85,0,0,0
3Month,0.21,0.42,0.73,23.61,1.04,0,0.21,0.1,1.66,2.39,10.51,2.6,0.1,4.99,5.41,2.08,2.29,3.64,0.31,0.94,1.25,4.26,0.1,0.83,0.83,0.21,1.87,32.45,0.52,0.42,1.25,355.63,2.18
22Month,0,0,0,6.42,0,0,0,0,0.14,0.14,2.05,0,0,0.41,0.27,0,0.14,0.27,0,0,0.27,0.27,0,0.14,0,0.14,0,3.69,0.55,0,0,1.23,0
