stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0.37,0,12.58,0,0,0.74,0.37,0,0.74,0,0,0
3Month,0.1,0,0.1,0.73,0,0.1,0.1,0.21,0,1.14,1.25,0.21,0.1,0.1,0.1,0.73,0.21,28.6,4.58,0,0.94,0.1,0.31,0,0,0.1,0.1,0.73,0,0.1,0.31,0.21
22Month,0,0,0,0.41,0,0,0,0,0.14,0.27,5.47,0,0,0.41,0,0.41,0,22.41,0.68,0.55,0.55,0,0.55,0.14,0.14,0.14,0,0.55,0.27,0,0,0.41
