stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,11,0,0,0,0,0,0,2,0,0,0,0,0,6,2,18,0,0,2,133,0,3,0,0,0,1,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,1.69,0.28,0.28,2.82,4.51,0,0.85,0.28,0,0.56,0,0,0
21Day,0.37,0,0.37,0,7.03,1.48,0,0,0,0,0,0,1.48,0,0,0,0.37,0.74,0,0,0,3.7,0,0.37,0.37,0,0,0,0,0
3Month,0,0,0.31,0,0,0,0.1,0.52,0,0,0.62,0,0.1,0,0,0.21,0.1,0.1,0,0,0.1,0,0,0,0.1,1.14,0,0,1.35,0.1
22Month,0.14,0,0,0,0,0,0,0.14,0.14,0,0.96,0.14,0,0.41,0,0,0.55,0.27,0,0,0,0,0.14,0.14,0,0,0,0,0,0
