stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,0,18.13,1.85,0,0,0,0,0.37,0,0,4.81,0.37,0,1.11,0,0.74,0,0,0.37,0.37,0,0.37,0,0.37
3Month,0,4.26,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.21,0,0.21,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.21,0.21
22Month,0.14,2.19,0,0,0.14,0.41,0.14,0,0.14,0,0.14,3.55,0.27,0.14,0,0,0.41,0,0,0,0.82,0,0,0
