stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0.85,0,2.54,0.28,0,0,0,0,0,0,0,0,0,0.56,3.1,0,0,0,0,0,1.41,2.54,0,0,1.13,0,0,0,0.28,0,0,0,0,0
21Day,1.85,0.74,0.37,25.9,0.74,0.74,0,0,0.74,0,0,0,2.96,0.37,1.11,13.32,3.33,17.02,1.11,0,9.25,3.7,2.22,0,0,9.62,1.48,0,0,0,0.74,0.37,0.37,0,3.33
3Month,0,0.83,0.42,3.22,0,0,0,0.1,1.25,0,3.64,15.08,0,1.77,0.21,1.14,0.83,1.14,0.31,0.21,27.15,0.31,0,0.21,0.1,0.21,0.21,0.1,0.83,0,0,0,0,0.31,0.62
22Month,0,3.83,0.27,4.1,0,0,0.14,0.27,2.05,0.27,7.11,10.52,0.14,2.19,0,0.27,1.5,1.5,0.14,0,27.33,0,0,0.68,0,0,0,0,0.41,0,0,0,0,0,0.96
