stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,3.95,1.69,1.13,0.85,2.82,0,0,0,0,0,0,0,0,0,0,4.23,0,18.04,0,0.28,0.85,0,167.42,65.95,0.56,1.69,0,16.35,0,0,0,11.84,0.56,0,0,0,0,0
21Day,2.59,1.11,2.96,0.74,3.33,0,0,0,0,0,0.37,0,1.48,0.74,0,1.48,0.74,25.53,0,0,4.07,0,44.03,17.02,0,0.74,0,5.92,1.11,0,1.11,1.85,0,1.85,1.11,0,0,0.37
3Month,0,4.58,4.26,0.31,0,0.1,0.42,0.31,2.6,0,2.39,2.29,0,0.94,0.1,2.7,1.46,8.32,2.08,0,1.25,0.1,1.25,0.83,1.35,0.62,0,0.31,0.1,0.1,13,0.31,0,0,0.31,1.56,2.39,2.08
22Month,0,7.11,0.82,0,0,0.14,0.55,0.14,3.42,1.64,5.47,2.46,1.09,0.68,0.27,0.41,1.09,10.25,0.14,0.14,0.41,0,1.64,0.55,1.5,1.37,0.27,0.14,0,0,3.55,2.87,0.27,0,0,0.41,0,1.09
