stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0.56,0.28,0,0,0,1.13,0,0
21Day,0.37,0,0,0,0,0,0.37,0,9.25,0,0,0,0,0,0,0,0
3Month,0.52,0.1,0,0.31,0.31,0.21,1.35,0.1,0.42,0,0,0.1,0.1,0.62,0,0.1,0.1
22Month,0.27,0,0.27,1.5,0,0.27,0.27,0.14,0.14,0,0.14,0,0,0.96,0,0,0.14
