stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.37,0,0,0.37,0,0,0,0,0,1.85,0,0,0.74,0.37,0,0.37,1.11,0,0,0,0,0,0,0.37
3Month,0,0,0.42,0,0,0,0.21,0.21,0.1,0.1,0.31,0.1,0.83,0.21,0,0,0,0,0,0.21,0,0.1,0.21,0.21
22Month,0,0.27,0.68,0,0.41,0.14,0.82,1.37,0.41,1.64,0.27,0.14,9.16,0.96,0.27,0.14,0,0.14,0.14,0,0.14,0,0,0.82
