stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,1.97,0,0,0,59.75,3.1,0.56,0,1.41,0,0,0.28,0,0,0
21Day,0.74,0,0.37,0.74,1.11,0,0,0,0,0,0,0,0,0,0.37,1.11,0,0,0,18.87,0.74,0,0,0.37,1.11,0,1.11,0,0,0.74
3Month,0,0.1,0,1.04,0,1.14,0.73,0,2.29,0.1,0,1.14,0.21,0.52,0.42,0.42,0,0.42,0.1,1.14,0,3.12,0,0,0.1,0.94,0.1,0.21,9.57,0.73
22Month,0,0.41,0.41,0.82,0,0.27,0.82,0.14,12.85,0.55,0.14,1.23,0,0.41,0.41,1.09,0.14,0,0,0.82,0.14,2.6,1.5,0,0.14,0.82,0.14,0,0,0
