stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,0.28,0,0.56,0.85,1.41,0,0,0.28,0,0,0,0,0,2.54,0.28,1.69,0,0.85,0,0,201.24,12.97,0,3.95,0,2.54,0,0,3.66,0,0,0.28,0,0,0
21Day,1.48,0.37,0,1.11,0,0.37,0.37,0,0,0,0.37,0,0.74,0.74,1.11,0,4.07,0,0,0.74,0,74.37,6.29,0,0.37,0,0.37,2.59,0.74,3.33,0.37,0.37,0,0,0,0.74
3Month,0,0.1,0,4.78,0,0,0,0.52,0.31,0,1.87,0.31,0.21,1.25,0.62,0.52,2.91,0.1,0,0.42,0.52,14.35,0.83,2.39,0.21,0,0.1,0.94,26.94,0.31,0,0,0,0.31,2.29,0.52
22Month,0,0.41,0.27,5.06,0,0,0,0.27,0.82,0.27,16.12,0.82,0.41,1.5,0.27,1.09,1.64,0,0.41,0,0.14,6.42,0.55,4.37,0.82,0.41,0,0.27,16.26,0.55,0,0,0,0,0,0.55
