stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,11.56,4.23,0.28,0.85,0,0.56,0,0,1.69,8.46,3.66,0.28,0,0,0
21Day,0,0.37,0.74,0.74,0,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0,7.77,1.48,0,4.44,0,1.85,0.37,0,1.11,18.5,14.06,0.74,0,0,0
3Month,0.1,0.1,1.56,0,0,0.21,0.31,0,0.83,0.21,0,0.1,0.21,0.1,0.21,1.98,0.21,0.1,0.1,0,0,2.18,0,0,0.1,7.39,0.1,0.31,0,0.21,0.42,3.22,0.21
22Month,0,0.27,1.78,0,0.14,0,0.55,0.27,3.83,0.14,0.14,0.41,0,0,0.27,1.64,0,0,0.27,0,0.14,1.23,0.27,0,0,0.82,1.5,8.2,0,0,0,0,0.14
