stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0
72hpf,0.85,0.56,0.56,0,0,0.28,0.85,1.97,0.28,130.5,3.95,0.28,1.69,0,0.85,0,0.56,0
21Day,0,0,0.37,0,0,0,0,1.11,0,35.52,0,0,0,0.37,0,0.37,0.37,0.74
3Month,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
