stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0.85,0,0.28,0,0.28,0,0,0,0.28,1.13,0.28,1.97,76.1,3.38,0,0,0.56,0,0,0.28,0,0
21Day,0.37,0.37,0.74,0.37,0.74,0.37,0,0.37,0,0,0,0.37,11.84,1.11,0.37,0.37,0.37,1.11,0,0.74,0,0.37
3Month,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0.14,0.14,0,0,0.27,0,0.14,0.14
