stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,1
72hpf,0,0,0,0,0.28,0,0.56,1.13
3Month,0.21,0.1,0.1,0.21,0,0.1,0,0
