stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3Month,0,0.1,0.52,0.21,0.31,1.98,0.31,0.83,0.21,0.31,0.52,0.1,0.31,0,0,0.1,0,0.1,0.31,4.37,0.83
22Month,0.14,0,0.14,0.14,0.14,1.91,0.14,0.96,0,0.14,0.41,0.14,0.14,0.14,0,0,0.14,0,0.27,0,0.14
