stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0.56,0,0,0.28,0,0,0,0,0,0.28,0.56,0,0.28,0,0,0.28,5.07,3.66,0.28,0.56,0,0,0.56,0,0.28,0,0,0,0
21Day,0.74,0,0,1.48,2.22,0,0,0.37,0,0,0,0.74,0.37,0.37,1.48,0.37,2.96,0,1.11,0,1.48,2.96,0,0,0,0,0.74,0.37,0.37,0,0,0,1.48
3Month,0,0.83,0.1,3.22,0,0.1,0.42,1.04,0,5.3,1.56,0.31,0.83,0.52,1.14,1.04,1.14,0.31,0.21,0.94,0,0.1,0.21,0.1,0.1,2.6,0,0,0,0.1,0.21,1.25,1.66
22Month,0,0.68,0,0.55,0,0.27,0.14,1.09,0.14,8.61,0.27,0.41,0.68,0,0,1.37,0.55,0,0.14,0.14,0,0,0.14,0,0,0.41,0,0,0,0,0.27,0,0.27
