stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0,0,0.56,0,0,0,0,0,0.28,0.28,0.56,0.28,0,0.28,0.28,1.41,0.56,0.85,0.28,0,0,0,0,0
21Day,2.22,0,0.37,3.33,0.74,0,0,0.74,0,0.37,0,7.77,0,0,0.37,6.29,7.03,0,0,0.74,1.11,1.11,2.22,0,0,0,0.37,0,2.22
3Month,0.31,0.1,0.31,1.35,0,0.1,0.21,1.98,0,2.39,9.57,1.04,0.42,0.31,0.52,3.85,0.83,0.31,0,0.62,0.21,0,0,0.1,0.1,0.31,0,0.1,1.46
22Month,0,0.14,0,0.41,0,0,0,4.37,0.14,5.33,3.42,0.41,0,0.14,0.27,5.06,0.41,0,0,0.68,0,0,0.14,0,0,0.14,0,0.14,0
