stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,6.76,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,1.11,0,0.37,0.37,0,0,0,0,0.74,0,0,0,0,0,1.48,0,9.25,1.48,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0,5.62,0.1,4.37,0,0.1,0.1,0,0.42,10.4,0.21,8.22,1.25,0,1.14,2.08,0.52,40.46,1.35,0.52,0.21,0.31,0.52,0.1,0,0,0.1,0,0.31,0.52,0.73,0,0,0,0.73,0.62
22Month,0,8.2,1.78,8.75,0,0,0.27,0.14,1.23,16.26,33.62,113.15,2.05,1.37,3.01,1.91,0.82,102.21,2.73,0,3.96,1.09,0,0.55,0.14,1.78,0.27,0.27,0,0.14,0,0.14,0.14,0,0,1.09
