stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,2.59,0.37,0.37,0,0.74,0,0,0,0.37,0,0.74,0,0,11.84,24.79,0.37,0,0,0,0,0,0.37,0.74,0,0.37,0,0.74,0,0
3Month,0.1,0.1,0.94,0,0,0.1,0,0.1,3.43,0,1.46,2.6,0.21,0.62,0.21,0.31,33.18,0.1,0,0.21,0.1,0.1,0,0,0,0.52,0,0,0,0.1,0.31
22Month,0.55,0.14,1.23,0,0,0.14,0,0.27,9.98,0.27,4.24,2.32,0.27,0.82,0,0.41,149.22,1.37,0.68,0.14,0.14,0,0.14,0,0.55,0.41,0,0.27,0,0,0.55
