stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell
72hpf,0,0,0,0,0.28,0.85,0,0.28,0
21Day,0.37,1.48,0,0,0.37,1.48,0,0,0
3Month,0,0.31,0.1,0.31,0,0,0.1,0,0.1
22Month,0,0,0.41,0.14,0,0,0,0,0
