stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,52,0,0,0,0,0,1,0,2,0,0,0,0,8,0,0,0,0,0,4,0,0,0
72hpf,1.69,0,2.25,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,1.41,0,0,0,0,0,0,5.36,0,0,0
21Day,0,0,11.47,0.37,0.37,4.81,0,0,0,0,0.37,0,0,1.11,0,1.11,0,0,0,0.74,0,0,0,0.37,0.37,0.37,1.48,0,0,0
3Month,0.42,0.31,11.34,0,0,40.88,0.21,0,0.73,0.21,0,0.31,0.21,0.31,0.83,1.14,0.21,0,0.31,0.1,0.1,0.1,0.1,0.1,0.1,1.25,0.1,0.21,0.42,0.1
22Month,0,0,0.82,0,0,8.61,0.14,0,0.14,0,0,0.41,0,0,0,0.55,0,0.14,0,0,0,0,0,0,0,0.55,0,0,0,0
