stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,1.13,0.85,0.28,0,0,0,0,0,0,0,0.28,1.97,0.28,0.56,0,0,0,0,10.43,9.02,0,0,0,0,0,0,4.23,0,0,0,0
21Day,0.37,0,0.37,7.4,0,0,0.37,0,0,0,0,0,0,0.37,0.74,0.37,2.59,0,0,0.37,0,3.7,3.33,0,0,0,3.33,0.74,0,1.11,0,0,0,0
3Month,0.1,0,0.31,10.09,0,0,0,1.35,0.42,0,4.99,0.1,4.47,0.62,2.91,0.42,1.25,0.1,0,0.1,0,0.31,0.42,0.83,0.1,0,0,0.42,5.1,0.31,0.1,0.1,17.89,0.21
22Month,0,0.14,0.68,3.28,0.14,0,0,0.68,0.27,1.91,13.39,0.41,6.7,0.14,0.68,0.55,1.5,0,0.14,0.41,0.14,0,0.14,0.41,0,0.27,0.14,0.14,0.68,0.82,0,0,0.14,0.27
