stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0.28,0.28,0,0,0,0
3Month,0.1,0.1,0,0.42,0.1,0,0,0,0.1,0,0.1
22Month,0,0,0.14,1.09,0.14,0,0,0.14,0,0.27,0
