stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Oligodendrocyte
24hpf,1,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.28
21Day,1.11,0,0,0,0,0
3Month,0.42,0,0,0.1,0.31,0
22Month,0,0.14,0.27,0,0,0
