stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,3,0,0,0,0,0,0,2,0,0,4,1,14,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0,0,0,0,0.28,0,0.28,0.85,2.82,0.28,0,0,0,0.28,0,0
21Day,0.37,0,0.74,0,0,0.74,0,0.37,0,0,0.74,0.74,0,0.37,0.37,0,0.37,0.37,0
3Month,0,0,0.1,0,0.21,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0.14,0.41,0.27,0,0.14,0,0,0.14,0.27,0,0,0,0,0.55,0,0,0.14
