stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,1.11,0,0,0,0,0,0,0.37,0,0,0,0,0,2.59
3Month,0.21,0.42,0,0.1,0.52,0,0.31,0.31,0.21,0.21,0,1.35,0.42,0.1,0.1,0,0,0,0.42,5.51,0.1,15.6
22Month,0,0.27,0,0,0.14,0.41,0.82,0,0,0.27,0.27,1.5,0.14,0,0,0,0,0.14,0,0.27,0,3.42
