stage,Cardiomyocyte,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell
24hpf,0,0,1,0,0,1,0
72hpf,0.56,0,0,0,0.56,0,0
21Day,1.85,0,0,0,0.37,0,0.37
3Month,0,0.1,0,0.1,0,0,0
