stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.28,0.56,0,0,0,0,0,0,0,0,0,2.54,3.38,0.56,0.28,0,0.85,0.28,0,3.1,3.38,0,0,0.56,0,0,0,0.56,0,0,0
21Day,1.85,0.74,0,19.61,0.37,1.85,0.74,0.37,0.37,0,0,0,0,1.48,0.74,1.85,6.66,0.74,3.33,0,0,1.11,0,3.33,3.33,0,0.37,0.37,1.48,0,0.37,0.37,0,0,0.37
3Month,0,0,0.1,5.62,0.1,0,0,0.83,0.21,0,0,5.2,0.21,0.21,2.08,0.52,2.08,0.52,0.52,0.21,0,0.31,0.42,0.42,0.1,0.31,0,0,0.1,1.77,0,0,0.21,0.31,0.42
22Month,0,0,0.41,0.82,0,0,0.14,0.14,0.55,1.64,0,11.89,0,0.14,2.05,0,0.27,0.41,0.68,0,0.68,0.27,0,0.14,0.14,0.27,0.14,0,0,0.41,0,0,0,0,0
