stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,6,0,0,0,2,0,0,73,0,0,0,0,0,0,1,0
72hpf,0.28,1.97,0,0,0.56,3.95,0.28,3.66,15.22,0.56,0.28,13.53,0,11.84,0,1.41,0
21Day,0.37,2.59,0.74,0.74,1.11,3.33,0.74,1.11,14.8,0,0.74,2.59,0,5.18,0.37,0.37,0
3Month,0.1,0,0,0.31,0,0.1,0,0,0,0,0,0.1,0.21,0,0,0,0
22Month,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.14
