stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,2.18,0.62,0.31,0,1.25,0.21,0.1,0.42,0.31,0.42,0,0.1,0,0,0,0.31,0.21,0,0.21,0.31
22Month,0.27,4.1,1.09,0.55,0.68,11.89,0.14,0.14,1.23,0,0.68,1.5,0.14,0.27,0,0.14,0.68,0.14,0.14,0,0.27
