stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0.85,0,0,1.97,0.28,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0.73,0.1,0.83,0,0.21,0.21,0,0.1,0.42,0.52,0.62,0,0,0,0,1.56,0.52,0.1
22Month,0,0.14,0.68,0,6.56,0.14,5.06,0.14,0.27,0,0.96,1.91,0,0.14,0,0,0,0.68,0,0
