stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,2.59,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0.62,1.98,0,2.7,0.31,0.83,0.94,0,143.44,1.04,0,2.5,0.42,0.62,1.04,0.83,0.1,0.42,0.73,0.31,0,0.1,0.1,0,2.7,0.21,0,0.52,0.73,0.62
22Month,0,0.14,0.27,0.55,0,1.23,0.55,0,0.41,0.14,115.61,0.27,0.14,0.68,0,0.14,0.14,0.68,0,2.46,0.14,0,0.27,0,0.14,0.14,0.27,0.14,0.14,0,0,0.14
