stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.97,0,0,0,0,0,0,0,0.85,0,0,2.82,3.1,0.56,0,0.28,0,0
21Day,0,1.85,0,0.37,0,0,0,0.37,0,0.74,0,0.37,0.74,1.11,0.37,0,0,0,0
3Month,0,1.98,0.1,0,0,0.21,0.31,0,0.1,0.52,0.1,0.1,0,0,0,0,0,0.1,0.1
22Month,0,0.55,0,0,0.27,0.41,0,0,0,0.27,0,0,0,0,0,0.14,0,0,0
