stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.56,0,16.07,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.85,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,29.6,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0,0.31,0,0.83,0.1,0,16.23,0,0.1,0.62,0.21,1.14,0.31,0,0.31,0.21,0.1,1.66,0.21,0,0,0.1,0.1,0.21,0,0,0.1,0,0.1,1.56,0,0,0.1,0.73,0.83
22Month,0.14,1.37,0.27,1.91,0,0,18.72,0.27,0,0.27,1.64,3.83,1.23,0.55,0.14,0,0.55,1.64,2.6,0.14,0.41,0.27,0,0.55,0,0.55,0,0,0.14,0.27,0.14,0,0.14,0,0.55
