stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,5,1,0,1,6,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0.56,0,0,0,0
21Day,0,0.37,0.37,1.85,0.37,0,0.37,0,0.37,0,1.11,0,1.85,0,0.37,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0
22Month,0,0,0,0.27,1.64,0.14,12.44,0.14,0,1.91,0.27,0.14,0,0,0,0,0,1.23
