stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.56,0.28,0,0,0,0.28,0,0,0,0.28,0,0.28,3.38,0,1.97,0,0.28,0,0,6.2,1.41,0.28,0.85,0,0,0.28,0,0,0
21Day,0.74,0,1.85,0,0.74,0,0.74,0,0,0,0.37,0,0.74,0.37,0,0.74,0,3.33,0,0,0,0,2.59,1.48,0,1.48,0.37,0.37,0.37,0,0,0
3Month,0,0.31,1.87,0,0,0.21,0,0.42,1.25,0,2.81,1.14,0.31,0.94,0,0.21,1.04,0.73,0.1,0,0.42,0.21,0,0.1,0.31,0,0.1,3.54,0.1,0,1.14,3.22
22Month,0,0.14,0.41,0,0,0,0,0,0,0.27,1.09,0,0,0.27,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0.14,0,0.14,0.14,0,0.14
