stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0,0,1.48,0,0,0,0,0
3Month,0.31,0.42,0.1,3.95,0.1,0.1,0.94,0.94,0,0,6.97,2.7,0.1,2.7,0.42,2.18,1.87,2.39,0.73,0.21,0.62,1.25,0.73,0.1,0.52,0.42,0,1.77,272,0.21,0.1,1.66,186.92,1.87
22Month,0,0,0.14,0,0,0,0.14,0.14,1.64,0,1.5,0,0,0.41,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0,1.78,0,25.55,0,0,0,0.96,0
