stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,11.56,0,0,0,0,0,0,0.28,1.41,0.56,0.28,0,0,2.54,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,1.11,20.35,0.37,0,0,0,0.74,0,0,1.48,0,0,1.48,0,0.37,0,0,0,0.74,0,0.37,0,0,0.37
3Month,0,0,0.31,0.52,2.6,0,0,1.35,0.1,0,0,0.1,0.1,0,0.21,0,0.1,0.1,0,0.1,0,0,1.66,0,0.1,0.1,0
22Month,0,0.14,0,0.68,0.14,0,0.14,2.32,0,0.14,0.14,0,0,0,0,0.27,0,0,0,0,0,0,1.09,0,0,0,0
