stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0.28,0,0.85,0,0,1.97,0,0.28,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,1.11,0,0,0,0,0,0
3Month,0,0.1,0.1,0.73,0.1,0,5.82,0.21,1.56,0.52,0.1,0.1,0,0,0.31,0.1,0,0.21,0,0,0.31
22Month,0,0,0,0,0,0.55,4.37,0,2.32,0,0,0,0.14,0.14,0.55,0,0,0,0.14,0.14,0
