stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,262,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0
72hpf,166.57,0.56,0,0.28,0,1.13,0,0,0,0,0,0,0,0,0,0.56,1.97,0.56,3.66,0.28,0,27.06,13.25,0,0.85,3.66,0,0,2.82,0.28,0,0,0,0
21Day,71.04,0.37,0,3.7,0.37,1.11,0.74,0,0,0,0,0,0,1.48,0.37,0.37,2.22,1.48,5.55,0,1.11,5.18,4.07,0,2.59,1.11,0,0,0.74,1.85,0,0,0.37,1.48
3Month,6.76,1.04,0.1,0.62,0.1,0,0,0,0.42,0,0,2.6,0.1,0,0.73,0.1,0.1,0.62,0.52,0,1.04,0.31,0.1,0.1,0.31,0.31,0.1,3.02,0,0,0,0.1,6.14,0.21
22Month,2.32,0.41,0.14,1.37,0.14,0,0.14,0.27,1.64,0.14,0,4.78,0.27,0.14,0.27,0,0.14,0.27,0.82,0.14,1.09,0.27,0,0,0,0,0,2.46,0.55,0,0.14,0,0,0.27
