stage,Immune_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,1,0
72hpf,0,1.13,0,0
21Day,0,0.37,0,0
3Month,0.1,0.1,0,0.1
