stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,1,1,0,0,0,0,1,0,0,16,0,0,0
72hpf,0.28,0.56,1.13,0,0,0.28,0.28,0.28,0,2.25,4.23,0,1.41,0
21Day,0,0.74,0,0,0,0,0,0,0,1.48,0.37,0.37,0.37,0.37
3Month,0,0,0,0.21,0.1,0,0,0,0.1,0,0,0,0,0
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0
