stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,0,4,293,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,3.95,0.56,0,5.07,4.79,1.13,0,0,0,0,0,0,0,0,1.13,18.04,0,28.47,0,0,1.41,0,96.39,81.17,0,0.28,0,36.64,0,0,12.4,0,0,1.69,0,0,0
21Day,7.77,0,0.37,3.7,0.74,4.07,0,0.37,0,0,0,0.37,1.48,0.74,0.37,6.66,1.48,78.07,0,0,2.59,0,67.34,76.22,0.37,0.37,0,30.34,5.55,0,6.66,1.85,0.74,1.48,0,0,2.22
3Month,0,0.1,0,5.41,0.21,0,0.1,0,0.1,0.52,0.52,0.31,0,0.21,0.1,0.62,0.31,16.43,1.98,0,0.21,0.31,0.52,0.94,0.52,0.1,0,0.31,0.21,0.42,0.31,0,0,0.31,0.42,0.73,0.21
22Month,0,0.14,0,1.09,0.14,0,0,0.14,0,0.82,2.73,0,0.14,0.27,0,1.64,0,21.04,0.41,0.14,0.55,0,0.27,1.5,0.14,0,0.14,0,0,0.82,0.96,0,0,0,0,0,0
