stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,2
72hpf,0,0.56,0.28,0,0,0.28,0.56,0
21Day,0.37,0,0,0,0,0.37,1.11,0
22Month,0.14,0,0,0.14,0.14,0,0,0
