stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,15,0,0,0,0,2,18,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,2.82,0,1.69,0,0.28,0,0,0,0,0.28,0,0,0,0.56,0,0.85,3.66,0,7.33,0,0.85,0,0,1.97,2.25,0,0,5.64,0.28,0,0,0,0,0,0.28
21Day,0,2.59,0,4.07,0,1.48,0,0.37,0,0,1.48,0,0,0,9.62,0,0.37,1.11,1.11,6.66,0,0,0.74,0,0.74,0,0.37,0,6.29,1.48,0,0.74,0,0,0,19.98
3Month,0.42,3.33,0.1,5.93,0.21,0,0.31,0,0.31,0.62,7.49,0,3.02,1.56,2.18,1.25,0.62,2.6,3.02,52.74,12.48,0,1.04,0.31,0.94,0.31,0.52,0.21,0.31,0.62,12.27,0,0.1,1.56,2.81,29.96
22Month,0,1.23,0,1.5,0,0,0.68,0,0.14,0,7.38,0.27,5.88,0.41,0.82,1.37,0.27,0.14,2.32,9.16,0.41,0.55,0.41,0,0,0.14,0.41,0.41,0,0.14,5.33,0,0,0,0,20.5
