stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.85,1.13,0,0.28,0,0,0,2.82,1.69,0.28,0,0.28,0,0,0,0.28,0,0,0
21Day,0,0,0,1.11,0.37,0,0,0,0,0,0,0.37,0,0,0.74,0,0.74,0,0,0,0.74,1.48,0.37,0,0,0.37,1.48,0,0,0,0,0
3Month,0,0.21,0.1,1.77,0,0.1,0.21,0.62,0,1.56,0.42,0.1,0.73,0.21,0.52,0.52,0.83,0.1,0.21,0.1,0.73,0.1,0.83,0.1,0,0.73,49.41,0.1,0,0.62,33.29,0.42
22Month,0,0,0.27,0.27,0,0,0,0.27,0,0.68,0,0.27,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,4.78,0.14,0,0,0,0
