stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.64,0.28,0,1.69,0,0,0,0,0,0,0,0,0,2.25,0.28,0.28,0,0,0,0,1.97,0.85,0,0.56,0,0,0.56,0,0.28,0,0,0
21Day,3.7,0,0,2.59,0.74,0,0,0.37,0,0,2.59,0,0,0.37,6.29,1.85,0,0,0.37,0,0.37,0.37,0,2.22,0.37,0,0,0.37,0.37,0,0,6.66
3Month,0,0.31,0.21,2.18,0,0.1,0.42,1.66,1.98,5.1,0.1,1.04,0.31,1.98,2.81,1.35,0.21,0,0.1,0.31,0,0,0.1,0.1,0.21,1.66,0,0,0,0.42,4.99,23.51
22Month,0,0.27,0,0.82,0,0.14,0,0.82,1.64,0.55,0.14,0.14,0,0,1.5,0.68,0,0.27,0,0,0,0,0.14,0.14,0,1.78,0.14,0,0,0,0,8.47
