stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,4.07,0,0.37,0,0,0.37,0
3Month,0.1,0,0.83,1.77,0,0,0.1,0.52,0.42,0,0,88.21,0.94,0,6.14,0.42,0.42,0.42,0.52,0,0.94,1.35,0,0.1,0.1,0.1,0,5.41,0.94,0,0.1,0.21,1.35,0.31
22Month,0,0.82,0.27,1.37,0.14,0,0.55,0.14,0.82,0.41,0,176.28,0.82,0.14,2.87,0,0,0.41,0.96,3.69,0.27,0.27,0.14,0,0,0.27,0.14,0.96,0.41,0.14,0.14,0,0,0.68
