stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,1,2,3,0,0,0,0,1,7,0,0,37,0,0,0
72hpf,0,0,0,0,0,0.28,1.13,0,0.85,0,0.56,4.23,0,0.28,0.56
21Day,0.74,0,1.11,0.37,1.11,0,0,0.37,2.59,0.37,0.74,1.85,0.37,0,0
