stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20,2,0,177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,35,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,83.15,0.56,0,36.08,0.56,3.38,0,0,0,0,0,0,0,0,0,0,0,11.56,0.85,83.43,0,18.32,0,77.23,8.17,0,0,0,89.06,0,0,2.82,0.28,0,0.85,0,0,0
21Day,42.18,1.11,0,13.69,0.74,2.96,0,0,0,0,0.37,0,0.74,0.37,0.74,1.11,0.74,5.55,1.11,109.89,0.37,61.42,0,44.03,3.33,0.74,5.18,0,85.47,8.51,0,2.59,0.37,3.7,2.59,1.48,0,0.37
3Month,4.37,3.74,0.1,16.23,0.31,0,0.52,0.21,0.83,1.25,3.22,0.31,6.35,1.66,0.31,3.33,0.1,9.99,1.35,70,13.11,14.77,0.21,1.25,0.1,0.52,6.45,0,10.92,0.52,1.98,0.1,0,0,0.31,158.73,2.18,1.46
22Month,0.96,0.82,0,1.78,0,0,0.41,0.14,0.14,0,0.96,2.87,5.6,0.27,0.27,1.09,0,1.23,0.55,22.41,0.27,6.29,0,1.5,0.14,0.27,2.73,0.14,3.42,0.27,0.27,0.27,0,0,0.14,23.23,0,0.27
