stage,Cardiomyocyte,Endothelial.cell,Epithelial.cell,Epithelial.cell..Brain.,Keratinocyte,Macrophage,Mesenchymal.cell,Neural.progenitor.cell
24hpf,3,1,1,1,2,2,1,6
21Day,0,0,0,0,0,0,0,0.739973720528564
