stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,0,1.69,0,0.28,0.85,0,0.85,0,0.28,3.1,0.56,0.28,0.28,0.56,0,0.28,0.28,0,0
21Day,0,0,1.85,0,0.37,0,0,0,0.37,0,0,0.37,0.37,0,0,0,1.48,0.37,0.74,0,0.74,0.37,0.74,0,0,0,0
3Month,0,0.1,2.5,0.1,0.1,0.31,0.21,15.08,0,0,0.21,0.31,0.21,0.1,0.1,0.42,0.1,0,0.21,0,0,0.42,2.29,0.1,0,2.6,0.31
22Month,0,0,1.91,0,0,0.27,0.27,10.39,0.41,0,0,0.14,0,0,0.14,0,0,0,0.55,0.14,0,0,1.23,0,0,0.14,0.14
