stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0
21Day,2.22,0,0,0,0,0,0,1.11,0,0.37,0,0,0.37,0,0
3Month,1.98,0,0.1,0,0.21,0.21,0.31,3.95,0.1,0,0,0.31,0,0.1,0.21
22Month,0.27,0.14,0,0.14,1.91,0.14,0.14,0.41,0,0,0.14,0,0,0,0.27
