stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,8.46,0.28,0.28,0,0,0,0,0,0,13.53,0,1.41,0,0.28,0.56,0,1.13,1.13,0,0,0.28,0.28,0,0,0,0
21Day,0.37,0,0,14.06,0.37,0,0,0,1.11,0,0,0.74,3.33,0.37,0.74,0,0,0,0,0.74,0,0,0,0,0,0.74,0,0,0
3Month,0,0,0.42,2.91,0,0,0.42,0.1,6.76,0.1,0.62,0.73,1.87,0,0.42,0.1,0,0,0.42,0.1,0,0.1,0.1,0,0.1,7.28,0.1,16.85,0.31
22Month,0,0.41,0.55,1.37,0,0,0.55,0.14,28.15,0.27,1.09,0.14,0.82,0,0,0,0.41,0,0,0,0.14,0.14,0,0,0,1.09,0,0,0.14
