stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythroid.progenitor.cell,Fibroblast,Goblet.cell,Granulocyte,Granulosa.cell,Hatching.gland,Hepatocyte,Immune.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cell,Retinal.cone.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,2,2,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.12739222401289,0,1.69108833601934,0.84554416800967,0.281848056003223,0,0,0,0,0,0,0,0,0,1.40924028001612,5.07326500805802,0,0.281848056003223,0,0,0,16.3471872481869,1.97293639202256,0,1.12739222401289,0,0,0.281848056003223,3.38217667203868,2.53663250402901,0,0,0
21Day,0.739973720528564,0.369986860264282,0,13.3195269695142,2.95989488211426,1.10996058079285,0.369986860264282,0,0,0,0,0,0.739973720528564,0,0,1.47994744105713,9.24967150660706,0,3.32988174237854,0,0.739973720528564,0,3.32988174237854,0.369986860264282,0,0.369986860264282,0.739973720528564,0,0.369986860264282,4.80982918343567,15.5394481310999,0,0,0
3Month,0,3.01649319269551,0.312051019934018,19.0351122159751,0.728119046512708,0,0,0.104017006644673,0.208034013289345,0.312051019934018,0.208034013289345,0,1.45623809302542,0.312051019934018,0.624102039868036,1.76828911295943,4.5767482923656,0.312051019934018,2.80845917940616,0.520085033223363,0.104017006644673,0.312051019934018,0.208034013289345,0.208034013289345,0.208034013289345,0,0.416068026578691,0.520085033223363,0,0.104017006644673,0,1.1441870730914,0.104017006644673,0.312051019934018
22Month,0.136649431988133,0.956546023916932,0,4.09948295964399,0.273298863976266,0,0.273298863976266,0,0.409948295964399,0.683247159940666,0.273298863976266,0,3.68953466367959,0,0.136649431988133,0.409948295964399,0.546597727952532,0.546597727952532,2.049741479822,0,0.136649431988133,0,0.273298863976266,0,0,0,0,0,0.136649431988133,1.09319545590506,0,0,0,0
