stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,11,0,1,1,0,0,0,3,0,0,0,0,2,1,1,10,0,0,0,0,2,72,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,0,1.13,0.56,0,0,0,0,0,0,0.28,0,0,3.95,0,2.82,0,0.28,0,0,8.46,9.02,0,2.54,0.28,0,0.28,0,0.28,0,0,0,0
21Day,2.59,0,0,1.48,0.37,2.22,0.74,0,0,0,0,0.37,0,1.48,0,0.37,0.74,0.74,5.55,0,0,0.37,0,1.48,3.7,0,1.48,1.48,0,0.37,0,0.74,0.37,0,0,0
3Month,0.1,0.31,0.1,1.77,0,0,0.42,0,1.35,0,0,0.21,0.42,0.31,0.1,0.31,1.66,0,3.64,0.94,0,0.1,0.42,0.31,0,0,0.1,0,12.59,0,0,0,0,0.1,1.35,0.1
22Month,0,0.14,0.14,2.32,0,0,0,0.82,1.78,4.37,0,1.64,0,0.14,3.42,0.27,0.55,0.27,1.23,0,0.14,0,0.14,0.14,0.14,0.14,0.14,0,0,0.27,0.14,0,0,0,0,0.14
