stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,3.66,0,1.13,0,0,0,12.68,0.85,0,0,0.56,0,0,0.56,0,0,0
21Day,0.37,0,0,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0,0.74,0,0,0,11.47,0.74,0.37,0,0,0.74,0,0.37,0,0,0.37
3Month,0,0.1,0.1,2.39,0,0,0.1,0.31,0,0,3.33,0.83,0.21,1.25,0.31,0.83,0.73,1.04,0,0,0.1,0.62,0.1,1.46,0.21,0,0.31,2.81,0,0.1,0.52,0.62
22Month,0.82,0.27,0.14,1.91,0,0.27,0,0,0.55,0.14,19.95,1.23,0.14,1.09,0,0,0.82,1.09,0.41,0.14,0,0.27,0.14,1.23,0.14,0.14,0.27,1.37,0,0,0,0.82
