stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Radial_glia,Spermatocyte
24hpf,1,1,1,0,0,1,2,0,23,0,0,0,0
72hpf,0,0,0,0,0.28,0.56,1.41,0.56,1.13,0,0.28,0.28,0
21Day,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0,0,0,0,0,2.46,0,0,0
