stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,0,0.28,0,0.28,0,0,0,0,0,0,0.28,0,0.85,0,0.28,0,0,22.27,1.13,1.41,0,3.95,0,0,0,0,1.69,0,0
21Day,2.59,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,2.96,0,0,0,7.4,0,0,0,0.37,0.37,0,0
3Month,0,0,0.1,1.04,0.1,0,0,0,0,1.46,0.31,0,0.52,0,0.73,0.31,0,0.1,0.1,0,0,1.46,0,0,0.31,0.83,0,0,0,0.1,0.21
22Month,0,0.14,0,0.96,0,0,0.14,1.23,0.27,12.57,0.68,0.14,1.5,0.14,0,1.23,0.41,0.41,0.55,0,0.14,1.37,0.14,0,0,0.27,0.14,0,0,0,0.14
