stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.41,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0.37,1.11,0.74,0,0.37,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,1.48
3Month,0.73,0,0.1,0.31,5.72,4.58,9.57,0,0.21,0,2.91,0.21,0,0,0.31,0.1,0.1,0.1,0.1,0.31,0,0.1,0.1,0.1,4.06
22Month,0.14,0,0,0,18.86,2.87,6.83,0.27,0.14,0,5.47,0.14,0.27,0.14,0,0,0,0,0,0,0.27,0,0,0,2.19
