stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,3.38,0.56,0,0,0.85,0,1.69,1.69,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.74,3.7,1.85,0,0,0,0,27.75,0,0.74,0,0.37,1.85,2.22,2.22,0.37,0.74,4.07,2.59,0,0.37,0.74,0,0,0.74,0,0.74,0,0,0.37
3Month,0,0.42,0.42,2.08,0,0.21,0.42,0.62,0.1,104.85,0.94,0,2.7,0.31,0.42,1.46,0.94,0.21,0.52,0,0,0.1,0,1.98,0.1,0.62,0.1,0,0,0.1,0.94,0.62
22Month,0.14,0.41,0.14,0.82,0,0.55,0,0.68,0,119.29,0.41,0.14,0.41,0,0.14,0.96,0.55,4.1,0.27,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0,0.14
