stage,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0,5.07,0.28,0.28,0.28
21Day,0,0,0,0.37,0,2.96,0.74,0,0
22Month,2.46,0,0.27,0,0.14,0,0,0,0
