stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0.74,0,0.37,0,0,0.37,2.59,0,0
3Month,1.25,0.1,0.21,0.1,0.21,0.1,0.1,0,0.1,0,0,0.21,0,0,0.1,5.62
