stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.85,0.28,0.85,0,0,0,0,0,0,0,0,0.56,2.82,0,1.97,0,0.28,67.36,9.02,0,0.56,2.54,0,0,1.41,0.28,0.85,0,0,0
21Day,1.48,0.37,0,4.07,0,1.11,0.37,0,0,0,0.37,0,0.37,0,0,1.11,0.37,3.33,0,0.74,21.46,4.81,0,0,1.11,1.11,0,0.74,0.37,0.37,0,0,0.37
3Month,0,0,0,0.83,0,0,0,0.21,0,0,1.98,0,0,0.1,0.1,0.21,0,0.1,0,0.1,0,0,0,0,0,0.21,0.21,0,0,0,0.1,0.1,0
22Month,0,0.27,0.14,1.09,0,0,0.14,0.14,0.27,0.68,10.25,0.14,0.14,1.23,0,0,0.96,1.23,0.27,0.14,0,0,0.27,0,0.14,0.14,0,0.14,0,0.14,0,0,0.14
